,Content,Lang,Leng,Portal,Channel
10, To nie chodzi o tęczy i ilustrację telewizyjną. To chodzi o wystrach nieważniejszego. To chodzi o wolność. O wolność w śniach swoich waszych. O wolność edukacji. O wolne sądy. O wolną szkołę. O wolny wybór. O wolnych ludzi. I o nasze prawa.,pl,241,tiktok,barbara_nowacka
11," And I miss you, oh Like a physicist whispering Could you be dead?",en,66,tiktok,barbara_nowacka
12," Ej, czarne i co? Łysaci?",pl,25,tiktok,barbara_nowacka
13," Wszyscy gramy z Wośp, Campus gra z Wośp i będę szczęśliwa, jeżeli chcecie wziąć udział w naszych aukcjach. Zapraszam też na spotkanie ze mną przy ramenie, ale i na wiele innych wspaniałych aukcji, które osoby związane z Campusem wystawiają. Siema, siema.",pl,255,tiktok,barbara_nowacka
14," Młode osoby mierzą się z gigantycznym kryzysem w polskiej szkole. Brak nauczycieli, przeładowane programy nauczania, ale też wielki kryzys młodych osób. Ponad 100 skutecznych prób samobójczych wśród młodych. A czym zajmuje się Minister Edukacji powołany do tego, żeby dbać o polską młodzież? Otóż po raz drugi już wraca z pomysłem tak zwanego Lex Czarnek. Czyli tego, jak wyrzucić ze szkół organizacje pozarządowe. Tak, tak, te organizacje, które mogą nieść pomoc, pomoc w czasie kryzysu, które sprawdziły się w kryzysie uchodźczym, które w ogóle czynią tę edukację czasami bardziej żywą, ciekawą. I to jest pomysł Pana Ministra. Nie odchudzanie programów nauczania, nie zagwarantowanie Wam nauczycieli, tylko walka z wymyśloną przez niego ideologią. I wtedy co wejdzie do szkół? A wtedy wejdzie Minister Czarnek i Pani Kurator Nowak, która będzie decydowała o wszystkim.",pl,872,tiktok,barbara_nowacka
15," Myśleliście, że cnoty niewieście i program Historia i Teraźniejszość to szczyt możliwości tej ekipy i Czarnka? Otóż nie. Jest jeszcze gorzej niż nam się wydaje. I mówię to do wszystkich rodziców, w szczególności dzieciaków w klasach od 6 do 8. Otóż teraz Czarnek i całe to towarzystwo, łącznie z naszą ulubioną kuratornowak, popierają konkurs prowadzony przez taką fundację zajmującą się ostrymi kampaniami antyaborcji. Konkurs nazywa się Pomóż uratować życie bezbronnemu i polega na tym, że dzieciaki w klasach od 6 do 8 mają przygotować pracę plastyczną, multimedialną albo literacką o tym jak to będą bronić życia poczetnego. No i powiem wam, że właściwie ręce opadają. Bo szkoła nie jest od tego, żeby indoktrynować. Szkoła jest od tego, żeby uczyć, a nie od tego, żeby prowadzić agitację za ideologią pana ministra Czarnka i jego tuteladzkich. To co proponują jest dodatkowo fatalne, ponieważ za udział w tym konkursie dzieciaki mogą dostać dodatkowe punkty i dostaną się dzięki temu do liceum. Czyli za udział w antyaborcyjnej propagandzie, za wspieranie ideologizacji mają punkty, a za na przykład inne wartości tych punktów absolutnie nie ma. Jest to niesprawiedliwe, dyskryminujące i urągające roli szkoły. I teraz oczywiście napisałam interpelację w tej sprawie, złożyłam, będę domagała się wyjaśnić, ale bardzo proszę rodziców, żebyście zwrócili uwagę, co pokazuje szkoła dzieciom, jakich uczy ich wartości, za co są punkty i w jaki sposób Czarnek urządza nam szkołę i przyszłość.",pl,1492,tiktok,barbara_nowacka
16, Thanks for watching!,en,21,ytshorts,Onet
17," Nie pamiętacie, że na kampusie w ubiegłym roku rozpoczęliśmy dbiórkę podpisów pod projektem TAK dla in vitro i dzisiaj te podpisy składamy, także wielkie dzięki dla wszystkich, którzy złożyli podpis, którzy zaangażowali się w tę zbiórkę. Mogę uwierzyć, że w XXI wieku są w Polsce ludzie, którzy chcą zabronić kobietom i mężczyznom mieć prawo do szczęścia, którzy pozwalają sobie na niegodne słowa, na dyskryminację, tylko dlatego, że nie mogą zrozumieć, że w XXI wieku istnieje medycyna, nauka, wiedza, szacunek do drugiego człowieka i empatia. Ta ustawa jest wyjątkowa. Ta ustawa to jest ustawa o miłości i o wolności. Jest to zwycięstwo wolności. Tak kochanie, bo Wy musicie walczyć o to, żeby nikt Wam nie mówił, czy ktoś ma być kochany i jak ma być kochany. Bo in vitro jest leczeniem, jest procedurą medyczną i my chcemy, żeby ta procedura medyczna wróciła na swoje miejsce i była całkowicie refundowana. Dotyczynaliśmy słowa. Dzisiaj stajemy przed Wami z 400 tys. imputek. Niezwykle zaangażowanie ludzi, niesamowita akcja. Jesienią ta ustawa będzie wprowadzona.",pl,1068,tiktok,barbara_nowacka
18,"["" I'm not sure if that's a good idea or not. But I think it's a good idea. I think it's a good idea. I think it's a good idea.""]",en,129,tiktok,barbara_nowacka
19," Słuchajcie, bo ja mam prośbę o poważne traktowanie tego tematu, bo głupstwa, które płyną z bardzo pustej skontinent prawej strony, nie powinny odejmować powagi tematu. My rozmawiamy o złówcielonym, które wydarzyło się polskim mediom, gdzie za publiczne pieniądze ludzie doprowadzeni są do depresji, rozpaczy, przez szczucie giną ludzie. To jest historia świętej pamięci prezydenta Adamowicza. To jest dramatyczna historia syna naszej koleżanki, którego przecież zaszczuli. Ale to nie był pierwszy raz. Przypomnijcie sobie, to oni pozwolili o ujawnienie danych dziecka byłego RPO, Adama Bodnara. To oni wyprodukowali firm inwazja, szczujące na osoby nieheteronormatywne. To oni w tych mediach publicznych nienawidzili i gardzili kobietami. To nie jest nic do śmiechu. To jest dla nas poważna refleksja koleżanki i koledzy z dzisiejszej opozycji przyszłych rządzących. Jak to naprawić? Jak to odbudować? I co spowodować, żeby ludzie o tak upadłej moralności nigdy więcej nie mieli wstępów do mediów publicznych?",pl,1010,tiktok,barbara_nowacka
20," Dzień dobry sprzed sejmu. Dzisiaj początek wielkiej akcji klubu parlamentarnego koalicji obywatelskiej, tu jest przyszłość. Będziemy w każdym województwie, a zaczynam od województwa łódzkiego. Szczególnie zapraszam Was na spotkanie otwarte do Zgierza o godzinie 17, gdzie z grupą posłów i posłanek jesteśmy do Waszej dyspozycji. Do zobaczenia.",pl,344,tiktok,barbara_nowacka
21,[],UNKNOWN,2,ytshorts,Onet
22," Ordo Iuris, czyli ultrakonserwatywna grupa, może sekta nawet mógłby ktoś powiedzieć, bardzo popierana przez PIS i bardzo z nimi zblatowana, wchodzi nam do łóżek. Tym razem absolutnie dosłownie. Wydali, wyobraźcie sobie, taką instrukcję, w której na przykład radzą hotelarzom, żeby jeżeli przyjeżdża para do hotelu, to jeżeli chce mieć łóżko podwójne, znali czy ma ślub, najlepiej pewno kościelny. A w przypadku, kiedy ślubu nie ma, to nie powinno się im pozwolić spać na podwójnym łóżku. Słuchajcie, czegoś tak absurdalnego, tak inwazyjnego i kuriozalnego, to nie widziałam od dawna. Tylko przypomnę, że Ordo Iuris to pupilki dzisiejszej władzy, czyli PIS-u i całej prawicy.",pl,675,tiktok,barbara_nowacka
23," Wszystkich nie wielu, helu, helu, helu, helu, helu, helu Schopali się Po różnych mrocznych instytucjach",pl,104,tiktok,barbara_nowacka
24," Na pewno słyszeliście o takim przedmiocie. Hit. Historia i teraźniejszość. To jest taki hit, który pan Czarnek chce wciskać młodym osobom, licealistkom i licealistom i doktorynować ich w ten sposób. Do tegoż hitu powstał dramatycznie zły podręcznik, pełen głupot, błędów językowych, kłamstwi, jakiegoś języka pogardy i nienawiści. No i ten podręcznik ma być dopuszczony. Żeby podręcznik był dopuszczony, musi mieć recenzję. Recenzjantów powołano błyskawicznie. Jak była recenzja negatywna, to nie uwierzycie co zrobili. To powołali innego recenzenta, kandydata na radnego PiS i już była recenzja pozytywna, nowa. Ale jest jeszcze ciekawsza rzecz. Za 100 ponad 1000 zł zrobili promocję tego podręcznika, zanim był jeszcze dopuszczony do użycia. Ponad 100 000 zł wydali tylko po to, żeby chyba wydać. Bo naprawdę żaden z tego pożytek. I pan Czarnek tym podręcznikiem i tym przedmiotem chce skasować wychowanie obywatelskie i wprowadzić indoktrynację, kłamstwa i pogardę. Bo myśli, że w ten sposób będzie kształtował młody osoby. Myli się.",pl,1037,tiktok,barbara_nowacka
25," Polska równa, wolna, otwarta i tolerancyjna. Tak lubimy sobie myśleć. Ale czy tak jest w rzeczywistości? Czy jesteśmy wolni od uprzedzeń, od stereotypów? Bardzo byśmy chcieli tak być. Chciałabym, żeby takie było polskie społeczeństwo. Dlatego tym bardziej zachęcam was, jeśli tylko możecie, bądźcie w sobotę w Warszawie na marszu przeciwko rasizmowi, żeby powiedzieć stop złowrogim tendencjom, które niestety obserwujemy. Stop rasizmowi. Bądźmy otwarci.",pl,454,tiktok,barbara_nowacka
26, Brawo! Brawo minister Czarnek! Brawo minister Czarnek! Wstajemy! Brawo! Nigdy nie dojdziecie do władzy! Wszyćcie sobie! Brawo! Rozliczymy was! Rozliczymy Trzaskowskiego! I co się nie teraz śmieje? Śmiej się! Brawo! Brawo minister Czarnek!,pl,239,tiktok,barbara_nowacka
27," Panie premierze, zwracam się do Pana z prośbą o natychmiastowe rozwiązanie pod Komisji Smoleńskiej i ukaranie tego kłamcy Smoleńskiego za fałszerstwa dokumentów. A do Pana, panie Kaczyński, ja tylko mam jedno pytanie. Jak pan może patrzeć w lustro po tym, jak pan na tragedii zrobił politykę, na trumnie brata, bratowej waszych przyjaciół i mojej matki zbudował imperium kłamstwa, które pozwoliło wam przejąć władzę? Jak panu nie wstyd, panie Kaczyński, doprowadzić do podziała Polski i robić czystą politykę? Pan się śmieje, hańba panu, hańba na wieki!",pl,554,tiktok,barbara_nowacka
28," Za chwileczkę idziemy zrobić kontrolę w Podkarpackim Kołatoriu z Krystyno i Joanna. Cztery. Przez 6 lat na 2000 placówek cztery nieprawidłowości wykazane w szkołach. No to gdzie są te setki kontroli, setki nieprawidłowości skarg? Niestety na Podkarpaciu tego nie ma. Na Podkarpaciu cztery kontrole, 2000 placówek o czym powiedziała Pani Pozył. Ale brak zainteresowania przy Piazce on dziedzięca. I to za zaskanawianie. Cztery skargi na 2000 placówek. I tak naprawdę dwie skargi dotyczyły ochrony pracowalnych. A Pani Nowak i Pan Czarnek cały czas opowiadają o setkach i o nieprawidłowościach o 3000 dzieci. Co?",pl,611,tiktok,barbara_nowacka
29," 31 października, koniec miesiąca i Halloween. I Grapiński przebija wszystkich. Na nic straszne stroje, strachy, głupie wpisy kurator Nowak. Grapiński ogłosił, że inflacja 17,9. To absolutnie zabija polską gospodarkę, polskie małe firmy, kieszenie Poleki Polaków. I co oni z tym robią? Anonic nie robią.",pl,303,tiktok,barbara_nowacka
30," Wszystkich nie bierą, bierą, bierą, bierą, bierą, bierą Schopali się Po różnych mrocznych instytucjach Uciekł, uciekł, uciekł, uciekł, uciekł, uciekł",pl,150,tiktok,barbara_nowacka
31," Jest w Krakowie taka mroczna postać, kurator Nowak. To osoba o wielkich ambicjach politycznych, która będzie chciała decydować za Was, za Waszych rodziców i za Waszych nauczycieli, jaka organizacja pozarządowa może wejść do szkoły. I nieważne, że Wy mówicie, że chcecie, żeby przyszedł do Was na przykład ktoś od strajku klimatycznego. Nieważne, że właśnie rodzice się na to godzą, nieważne, że nauczyciele chcą takich zajęć. A pani kurator Nowak, jeśli wejdzie lek z czarnek, powie nie, nie zgadzam się. I dlaczego to jest złe? A no dlatego, że zabiera pewną autonomię, którą mają i młode osoby, i szkoły, i nauczyciele. To jest taki nowy nadrodzic, nadany przez ministra czarnek. I to nadrodzic z wielkimi politycznymi ambicjami. I nie ma nic złego w politycznych ambicjach. Jak ktoś chce się zajmować polityką, niech to po prostu robi. A nie udaje kuratora czy osoby, która decyduje o kształceniu młodych osób.",pl,914,tiktok,barbara_nowacka
32," To, że Czarnek jest fatalnym ministerem edukacji wiemy od dawna. To, że jest wyjątkowo niekulturalny, też wiemy. Ale zobaczcie, jak się odnosi do dziennikarki. Konserwatysta, minister edukacji, odpowiedzialny za młodzież. Zobaczcie sami. Pan by chciał ustawowo zakazać seksu dla przyjemności. Pani jest głupia, czy pani po prostu tak mówi?",pl,340,tiktok,barbara_nowacka
33," Sześć najważniejszych powodów, dla których jestem w sobie nie. Prawa kobiet. Świeckie państwa. Prawo do miłości, do wolności dla każdej i każdego. Przeciwdziałanie będzie wykluczone. Dobra szkoła. Państwo sprawiedliwe i dobrze funkcjonują. O to walczą, o to zabierają.",pl,269,tiktok,barbara_nowacka
34," Kochane i kochani, zbliżają się święta. Życzę wam wszystkim wspaniałych, wesołych i zdrowych świąt. Spędźcie je tak jak chcecie i tak jak lubicie. Z rodziną, z przyjaciółmi, albo z kotem i książką na kanapie. Róbcie co chcecie i bądźcie w tym wszystkim szczęśliwe, szczęśliwi i zdrowi. Mam nadzieję, że koszmar wojny niedługo przeminie i będziemy mogli zająć się budowaniem tego, co dla nas wszystkich najważniejsze. Wspólnoty opartej na wartościach, na przyjaźni, w dajemnym szacunku i zrozumieniu. Wesałych świąt.",pl,516,tiktok,barbara_nowacka
35," Panie Ministrze, ze zdumieniem słuchamy, jak Pan bardzo nie rozumie, o czym jest ta rozmowa. Otóż doprowadziliście Polskę do stanu takiego, że Polki, młode kobiety, boją się zachodzić w ciążę. Waszym zakazem aborcji, zabraniem Polkom in vitro, leżącą polityką mieszkaniową, brakiem zadbania o osoby z niepełnosprawnościami i kobiety, które zostają, zazwyczaj kobiety, które zostają z tymi dziećmi. Macie ich w głębokiej pogardzie. A dzisiaj propozycja wasza, list rejestru ciąż, jest kolejnym etapem zastraszania. Prowadzicie politykę antykobiecą i antydemograficzną. I nawet wasza pani minister Maląg mówi, że ten rejestr jest niepotrzebny. To się w rządzie dogadajcie, czy macie rejestr, czy nie macie. Bo my wiemy, do czego to ma służyć. Otóż ma to służyć temu, żeby ciążę wraz z lekarzem prowadził pod prokurator Pana Ziobry. I do tego chcecie doprowadzić, żeby młode kobiety bały się jeszcze bardziej. Stosujecie język pogardy i nienawiści do Polek, których nie rozumiecie i nie chcecie zrozumieć. Panie ministrze, Pana zadanie jest za pewien niebezpieczeństwo.",pl,1067,tiktok,barbara_nowacka
36," Pani marszałek, Wysoki Sejmie, w tej chwili na Ukrainę spadają bomby. Giną dzieci, kobiety, walczą bohaterki i bohaterowie o wolność, również o naszą wolność. W całej Polsce wolontariuszki i wolontariusze, samorządowcy, ludzie dobrej woli, działają, żeby pomóc i żeby ratować. A w tym samym czasie, ja już rozumiem te puste ławy PIS-u, rząd zastanawia się nad swoją bezkarnością. A jest tyle rzeczy do zrobienia. Mogliście chociaż raz być przyzwoici i znowu się nie udało. Jak rozwiązany jest problem dotyczący edukacji dzieci? Kwestii tego, jakiego języka się będą uczyć, jakiej historii, jak będziemy ich uczyć polskiego, jak będziemy ich integrować, gdzie pomoc psychologiczna? Co z kwestiami szczepień? Odpowiedzi są niezadowalniające. I co, żeście wymyślili, żeby jeszcze skomercjalizować pomoc? Pomoc powinna trafiać bezpośrednio do Ukrainek i do Ukraińców. Polakom, którzy pomagają, należy się szacunek, ulgi podatkowe i wsparcie. Natomiast pieniądz musi iść za potrzebującym, a nie do rąk różnych ludzi. Panie Ministrze, duża prośba, widzimy na dworcach już oszustów, ludzi nieuczciwych. Poślijcie tam służby, bo wykorzystują ofiary wojny. Wiem, że możecie, chociaż sami nie umiecie powstrzymać swojej chlebki chłapę.",pl,1226,tiktok,barbara_nowacka
37," To już 12 dzień wojny w Ukrainie po napaści Putina na ten kraj. Do Polski przyjechało ponad milion uchodźców, w tym bardzo wiele kobiet i bardzo wiele dzieci. Dlatego zaczynamy w moim biurze poselskim zbiórkę wyprawek szkolnych. Niezbędnych materiałów papierniczych, kredek, flamastrów, farb, zabawek, gier. Wszystkiego co mogłoby umilić życie dzieciom uchodźczym. One przeżyły piekło. One straciły wszystko co miały. Jeżeli chcielibyście im pomóc, zapraszam do przynoszenia materiałów papierniczych wyprawki szkolnej do moich biur poselskich. A wszystkie te rzeczy zostaną przekazane dzieciakom z Ukrainy, które zostały na Pomorzu.",pl,633,tiktok,barbara_nowacka
38," With that, the 2022 season comes to an end. Goodnight.",en,55,tiktok,barbara_nowacka
39," Pisowcy traktują Polskę jak swój folwark. Jacek Kurski, słynny z tego, że z telewizji publicznej zrobił propagandową pisowską tubę, że szczął na kobiety, na osoby nieheteronormatywne, na osoby z niepełnosprawnościami, na lekarzy, na nauczycieli, na całą pozycję, a teraz dostaje w prezencie od swoich koleś z PiS-u nową fuchę. Będzie reprezentował Polskę w doradcach Banku Światowego. To zazwyczaj wymaga kompetencji ekonomicznych. Kurski raczej sławił się kompetencjami propagandysty. Powiedzieć o tym hańba i nepotyzm to nie powiedzieć nic, bo to co oni robią z Polską, z publicznymi pieniędzmi, to jest po prostu granda. A, jeszcze jedno. Jest kryzys, nie ma na nic pieniędzy, każdy musi zaciskać pasa, każdy poza telewizją polską. Jej rządzący dosypują 700 milionów na pogardę, na propagandę i nienawiść. Cały PiS.",pl,819,tiktok,barbara_nowacka
40, Come check this. Come check this.,en,34,tiktok,barbara_nowacka
41," Muszę wam opowiedzieć coś kosmicznego. Katolicki Uniwersytet Lubelskiej prowadzi studia na Wydziale Lekarskim, czyli uczą przyszłych lekarzy. Zobaczcie jakie mają przedmioty. Biblia, istota i rola w kulturze, antropologia rodziny, profesjonalizm i duchowość w medycynie, socjologia medycyny i katolicka nauka społeczna. Wszystkie te przedmioty są naucenne. Natomiast na przykład przedmiot radzenie sobie ze stresem to w ciągu całego toku studiów na Katolickim Uniwersytecie Lubelskim jedynie 20 godzin. Świeckie państwo od zaraz.",pl,530,tiktok,barbara_nowacka
42," Aaaa, kotki dwa, szarobure obydwa, jeden duży, drugi mały.",pl,59,tiktok,barbara_nowacka
43," Gotowina święta? Ja właściwie już tak. Dlatego chciałam wam złożyć najserdeczniejsze, najlepsze życzenia. Wszystkim wam bez wyjątku. Życzę wam zdrowia, miłości, empatii, szczęścia. Życzę wam, byście te kilka świątecznych dni spędzili z kim chcecie i jak chcecie. Bez względu na to, co inni o tym pomyślą. Pamiętajcie o bliskich, pamiętajcie o przyjaciółach. Przede wszystkim bądźcie naprawdę, naprawdę szczęśni. Chwila spokoju należy się każdej i każdemu z nas. Dobrze jest ją mieć w święta. Bądźcie zdrowi i pamiętajcie, będzie przepięknie.",pl,542,tiktok,barbara_nowacka
44," Panie marszałku, Wysoki Sejmie, ten projekt to sprzeciw Polek i Polaków wobec draństwa, które zafundował Kaczyński, Ziobro, Przyłębska i wszyscy ci, którzy dzisiaj po prawej stronie tak wiele mają w sobie hipokryzji, że mówią o prawach człowieka i obronie kobiet. To przez was Polki boją się mieć dzieci. To przez was młode dziewczyny mówią, boimy się zajść w ciążę w Polsce, bo tu nie znajdziemy pomocy, nie znajdziemy wsparcia, nie znajdziemy bezpieczeństwa. To wy ponosicie odpowiedzialność za dramaty takie chociażby jak pani Izabeli z Pszczyny. A projekt obywatelski to głos kobiet i mężczyzn o normalność w Polsce, o prawo do bezpiecznej i legalnej aborcji. Parlamentarny Klub Koalicji Obywatelskiej chce pracować nad tym projektem, dlatego składamy wniosek o przedłożenie go Komisjom Zdrowia i Komisji Polityki Społecznej. Uważamy, że głos obywatelek i obywateli musi być wysłuchany, że Polki muszą być bezpieczne, że Polki muszą mieć dostęp do edukacji seksualnej, antykoncepcji, bezpiecznej i legalnej aborcji i in vitro. Zasługujemy na te same prawa, co nasze koleżanki w Czechach, w Austrii, Wielkiej Brytanii i Niemczech. Myślicie, że jesteśmy gorsze i głupsze, że nie będziemy o sobie mogły decydować? Polki o sobie decydują, tylko przez was skazane są na podziemie aborcyjne. A mówią o potrzebie normalności. O tę normalność będzie wnosił Klub Koalicji Obywatelskiej. Dziękuję.",pl,1392,tiktok,barbara_nowacka
45, glued-out-of-the-miss Wizards of Labor,en,39,tiktok,barbara_nowacka
46," Papież Franciszek dzisiaj znowu jak proputinoski oddział propagandowy. Tym razem mówił o szczekaniu na tą bramę Rosji, co mogło jego zdaniem sprowokować Putin. Nie macie tego dość? Ja totalnie. Najpierw chronią systemowo poedofilii od lat. Teraz jeszcze w czasie wojny w Ukrainie stali się wspierającymi Putina. Z takim autorytetem. Najwyższy czas, żeby w Polsce wypowiedzieć konkordat. Najwyższy czas, żeby rozdzielić Polskę od Kościoła. I tego Kościoła Rydzykowego i tego Kościoła w Watykanie.",pl,496,tiktok,barbara_nowacka
47, Witajcie w 2023 roku. Chciałam życzyć wszystkim ludziom dobrej woli. Zwycięskiego Nowego Roku!,pl,95,tiktok,barbara_nowacka
48," Pani marszałek, składam wniosek o przerwę i chciałam się zwrócić do Wysokiej Izby, w szczególności do rządzącej części, o refleksję nad tym, co wydarzyło się wczoraj. Co wydarzyło się wczoraj na stronach rządowych. Państwo polskie ma obowiązek stać na straży godności każdej i każdego z nas. Często powinno też stawać po stronie tych, którzy bronić się nie mogą. To, czego dopuściło się wczoraj Ministerstwo Obrony, to jest rzecz karygodna. To jest uderzenie w nasze serca i nasze dusze. Publikacja zdjęć z włog ofiar katastrofy smoleńskiej, brutalnych, okrutnych zdjęć powoduje tylko to, że znika nam dobra pamięć o nich. To brak szacunku, to brak zabierania wspomnień o ludziach, których znaliśmy i kochaliśmy. Tak jak wszyscy tu siedzimy na tej izbie. Dla jednych to brat, dla drugich to matka, dla innych to mąż. Ale wszyscy tak samo cierpimy. Ja oczekuję od państwa polskiego i od urzędników państwowych, że teraz ktoś wyjdzie i przeprosi za pamięć tych ludzi, naszych bohaterów i bohaterki. Przeprosi i zwróci im kawałek godności. Bardzo bym prosiła, żeby odbyło się to bez żadnego ale. Bez żadnego ale i z poszanowaniem. Im się to należy.",pl,1146,tiktok,barbara_nowacka
